facility_id,facility_name,street,city,state,zip_code,county,telephone_number,start_date,end_date,cauti_sir,cauti_lcl,cauti_catheter_days,cauti_observed,cauti_predicted,cauti_ucl,clabsi_sir,clabsi_lcl,clabsi_observed,clabsi_predicted,clabsi_ucl,clabsi_device_days,cdiff_sir,cdiff_lcl,cdiff_observed,cdiff_patient_days,cdiff_predicted,cdiff_ucl,mrsa_sir,mrsa_lcl,mrsa_observed,mrsa_patient_days,mrsa_predicted,mrsa_ucl,ssi_hyst_sir,ssi_hyst_lcl,ssi_hyst_procedures,ssi_hyst_observed,ssi_hyst_predicted,ssi_hyst_ucl,ssi_colon_sir,ssi_colon_lcl,ssi_colon_procedures,ssi_colon_observed,ssi_colon_predicted,ssi_colon_ucl,median_income,poverty_percentage,tract,x-coordinates,y-coordinates
390304,ROXBOROUGH MEMORIAL HOSPITAL,5800 RIDGE AVE,PHILADELPHIA,PA,19128,PHILADELPHIA,(215) 483-9900,01/01/2024,12/31/2024,Not Available,Not Available,1184,1,0.835,Not Available,Not Available,Not Available,0,0.651,Not Available,932,0.651,0.207,4,11998,6.144,1.570,Not Available,Not Available,0,11998,0.669,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,0,0.145,Not Available,59167,13.2,021000,-75.210352820702,40.028518266891
390307,EDGEWOOD SURGICAL HOSPITAL,239 EDGEWOOD DRIVE EXTENSION,TRANSFER,PA,16154,MERCER,(724) 646-0400,01/01/2024,12/31/2024,Not Available,Not Available,10,0,0.005,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,121,0.024,Not Available,Not Available,Not Available,0,121,0.002,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,75278,9.3,032401,-80.419674247362,41.330103036284
390307,EDGEWOOD SURGICAL HOSPITAL,239 EDGEWOOD DRIVE EXTENSION,TRANSFER,PA,16154,MERCER,(724) 646-0400,01/01/2024,12/31/2024,Not Available,Not Available,10,0,0.005,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,121,0.024,Not Available,Not Available,Not Available,0,121,0.002,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,63929,15.2,032401,-80.419674247362,41.330103036284
390316,SURGICAL INSTITUTE OF READING,2752 CENTURY BOULEVARD,WYOMISSING,PA,19610,BERKS,(717) 999-9999,01/01/2024,12/31/2024,Not Available,Not Available,151,0,0.051,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1921,0.287,Not Available,Not Available,Not Available,0,1921,0.022,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11,0,0.272,Not Available,108485,3.6,010903,-75.987048615662,40.358169550082
390316,SURGICAL INSTITUTE OF READING,2752 CENTURY BOULEVARD,WYOMISSING,PA,19610,BERKS,(717) 999-9999,01/01/2024,12/31/2024,Not Available,Not Available,151,0,0.051,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1921,0.287,Not Available,Not Available,Not Available,0,1921,0.022,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11,0,0.272,Not Available,91955,8.5,010903,-75.987048615662,40.358169550082
390322,ROTHMAN ORTHOPAEDIC SPECIALTY HOSPITAL,3300 TILLMAN DRIVE,BENSALEM,PA,19020,BUCKS,(215) 244-7400,01/01/2024,12/31/2024,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,890,0.133,Not Available,Not Available,Not Available,0,890,0.011,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,49158,28.4,100208,-74.961279733171,40.116806895376
390323,ADVANCED SURGICAL HOSPITAL,100 TRICH DRIVE,WASHINGTON,PA,15301,WASHINGTON,(724) 884-0710,01/01/2024,12/31/2024,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1509,0.197,Not Available,Not Available,Not Available,0,1509,0.017,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65926,8.5,752700,-80.280772600065,40.157002712066
390324,PHYSICIANS CARE SURGICAL HOSPITAL,454 ENTERPRISE DRIVE,ROYERSFORD,PA,19468,MONTGOMERY,(610) 495-3330,01/01/2024,12/31/2024,Not Available,Not Available,279,0,0.156,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1492,0.291,Not Available,Not Available,Not Available,0,1492,0.034,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,104092,3.3,208603,-75.554121190926,40.216775388572
390325,OSS ORTHOPAEDIC HOSPITAL,1861 POWDER MILL RD,YORK,PA,17402,YORK,(717) 718-2000,01/01/2024,12/31/2024,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,3601,0.399,Not Available,Not Available,Not Available,0,3601,0.041,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,98322,3.1,022801,-76.696720670979,39.916667432695
390326,ST LUKE'S HOSPITAL - ANDERSON CAMPUS,1872 ST LUKE'S BLVD,EASTON,PA,18045,NORTHAMPTON,(484) 503-3000,01/01/2024,12/31/2024,0.180,0.009,5292,1,5.547,0.889,0.164,0.008,1,6.102,0.808,6484,0.236,0.096,6,59034,25.432,0.491,0.238,0.012,1,69857,4.199,1.175,Not Available,Not Available,40,1,0.388,Not Available,0.711,0.036,54,1,1.407,3.505,120500,3.6,017607,-75.290124095525,40.647930746031
390327,WELLSPAN SURGERY AND REHABILITATION HOSPITAL,55 MONUMENT ROAD,YORK,PA,17403,YORK,(717) 812-6100,01/01/2024,12/31/2024,Not Available,Not Available,173,0,0.085,Not Available,Not Available,Not Available,0,0.062,Not Available,106,Not Available,Not Available,0,1995,0.330,Not Available,Not Available,Not Available,0,1995,0.047,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84375,2.4,022701,-76.717842500346,39.922945904352
390327,WELLSPAN SURGERY AND REHABILITATION HOSPITAL,55 MONUMENT ROAD,YORK,PA,17403,YORK,(717) 812-6100,01/01/2024,12/31/2024,Not Available,Not Available,173,0,0.085,Not Available,Not Available,Not Available,0,0.062,Not Available,106,Not Available,Not Available,0,1995,0.330,Not Available,Not Available,Not Available,0,1995,0.047,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,103966,3.3,022701,-76.717842500346,39.922945904352
390329,JEFFERSON EINSTEIN MONTGOMERY HOSPITAL,559 WEST GERMANTOWN PIKE,EAST NORRITON,PA,19403,MONTGOMERY,(484) 662-1000,01/01/2024,12/31/2024,1.712,0.795,4637,8,4.674,3.250,0.916,0.233,3,3.276,2.492,3347,0.254,0.118,8,52599,31.446,0.483,0.899,0.229,3,58431,3.337,2.447,2.053,0.522,180,3,1.461,5.588,0.592,0.030,65,1,1.689,2.920,113843,2.9,203302,-75.34182392207,40.150576451254
390331,WILLS EYE HOSPITAL,840 WALNUT STREET,PHILADELPHIA,PA,19107,PHILADELPHIA,(215) 440-3100,01/01/2024,12/31/2024,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0.006,Not Available,8,Not Available,Not Available,0,626,0.071,Not Available,Not Available,Not Available,0,626,0.008,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,20721,47.3,000902,-75.155904211118,39.948237459574
390331,WILLS EYE HOSPITAL,840 WALNUT STREET,PHILADELPHIA,PA,19107,PHILADELPHIA,(215) 440-3100,01/01/2024,12/31/2024,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0.006,Not Available,8,Not Available,Not Available,0,626,0.071,Not Available,Not Available,Not Available,0,626,0.008,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,85271,16.7,000902,-75.155904211118,39.948237459574
390331,WILLS EYE HOSPITAL,840 WALNUT STREET,PHILADELPHIA,PA,19107,PHILADELPHIA,(215) 440-3100,01/01/2024,12/31/2024,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0.006,Not Available,8,Not Available,Not Available,0,626,0.071,Not Available,Not Available,Not Available,0,626,0.008,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,77591,6.2,000902,-75.155904211118,39.948237459574
390333,"AHN EMERUS WESTMORELAND, LLC",6321 ROUTE 30,GREENSBURG,PA,15601,WESTMORELAND,(787) 295-4735,01/01/2024,12/31/2024,Not Available,Not Available,73,0,0.040,Not Available,Not Available,Not Available,0,0.035,Not Available,61,Not Available,Not Available,0,2138,0.619,Not Available,Not Available,Not Available,0,2138,0.043,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,79539,4.2,803700,-79.600191687599,40.310165177754
390337,GEISINGER MEDICAL CENTER MUNCY,255 ROUTE 220 HIGHWAY,MUNCY,PA,17756,LYCOMING,(570) 308-2475,01/01/2024,12/31/2024,Not Available,Not Available,394,0,0.281,Not Available,Not Available,Not Available,0,0.239,Not Available,317,0.574,0.029,1,4604,1.743,2.830,Not Available,Not Available,0,4604,0.114,Not Available,Not Available,Not Available,2,0,0.019,Not Available,Not Available,Not Available,6,0,0.133,Not Available,61912,12.0,010800,-76.805898393869,41.238915001405
390337,GEISINGER MEDICAL CENTER MUNCY,255 ROUTE 220 HIGHWAY,MUNCY,PA,17756,LYCOMING,(570) 308-2475,01/01/2024,12/31/2024,Not Available,Not Available,394,0,0.281,Not Available,Not Available,Not Available,0,0.239,Not Available,317,0.574,0.029,1,4604,1.743,2.830,Not Available,Not Available,0,4604,0.114,Not Available,Not Available,Not Available,2,0,0.019,Not Available,Not Available,Not Available,6,0,0.133,Not Available,76473,9.3,010800,-76.805898393869,41.238915001405
390337,GEISINGER MEDICAL CENTER MUNCY,255 ROUTE 220 HIGHWAY,MUNCY,PA,17756,LYCOMING,(570) 308-2475,01/01/2024,12/31/2024,Not Available,Not Available,394,0,0.281,Not Available,Not Available,Not Available,0,0.239,Not Available,317,0.574,0.029,1,4604,1.743,2.830,Not Available,Not Available,0,4604,0.114,Not Available,Not Available,Not Available,2,0,0.019,Not Available,Not Available,Not Available,6,0,0.133,Not Available,73925,9.9,010800,-76.805898393869,41.238915001405
390337,GEISINGER MEDICAL CENTER MUNCY,255 ROUTE 220 HIGHWAY,MUNCY,PA,17756,LYCOMING,(570) 308-2475,01/01/2024,12/31/2024,Not Available,Not Available,394,0,0.281,Not Available,Not Available,Not Available,0,0.239,Not Available,317,0.574,0.029,1,4604,1.743,2.830,Not Available,Not Available,0,4604,0.114,Not Available,Not Available,Not Available,2,0,0.019,Not Available,Not Available,Not Available,6,0,0.133,Not Available,51232,9.3,010800,-76.805898393869,41.238915001405
390337,GEISINGER MEDICAL CENTER MUNCY,255 ROUTE 220 HIGHWAY,MUNCY,PA,17756,LYCOMING,(570) 308-2475,01/01/2024,12/31/2024,Not Available,Not Available,394,0,0.281,Not Available,Not Available,Not Available,0,0.239,Not Available,317,0.574,0.029,1,4604,1.743,2.830,Not Available,Not Available,0,4604,0.114,Not Available,Not Available,Not Available,2,0,0.019,Not Available,Not Available,Not Available,6,0,0.133,Not Available,98785,5.4,010800,-76.805898393869,41.238915001405
390337,GEISINGER MEDICAL CENTER MUNCY,255 ROUTE 220 HIGHWAY,MUNCY,PA,17756,LYCOMING,(570) 308-2475,01/01/2024,12/31/2024,Not Available,Not Available,394,0,0.281,Not Available,Not Available,Not Available,0,0.239,Not Available,317,0.574,0.029,1,4604,1.743,2.830,Not Available,Not Available,0,4604,0.114,Not Available,Not Available,Not Available,2,0,0.019,Not Available,Not Available,Not Available,6,0,0.133,Not Available,81974,6.1,010800,-76.805898393869,41.238915001405
390337,GEISINGER MEDICAL CENTER MUNCY,255 ROUTE 220 HIGHWAY,MUNCY,PA,17756,LYCOMING,(570) 308-2475,01/01/2024,12/31/2024,Not Available,Not Available,394,0,0.281,Not Available,Not Available,Not Available,0,0.239,Not Available,317,0.574,0.029,1,4604,1.743,2.830,Not Available,Not Available,0,4604,0.114,Not Available,Not Available,Not Available,2,0,0.019,Not Available,Not Available,Not Available,6,0,0.133,Not Available,48207,31.6,010800,-76.805898393869,41.238915001405
390337,GEISINGER MEDICAL CENTER MUNCY,255 ROUTE 220 HIGHWAY,MUNCY,PA,17756,LYCOMING,(570) 308-2475,01/01/2024,12/31/2024,Not Available,Not Available,394,0,0.281,Not Available,Not Available,Not Available,0,0.239,Not Available,317,0.574,0.029,1,4604,1.743,2.830,Not Available,Not Available,0,4604,0.114,Not Available,Not Available,Not Available,2,0,0.019,Not Available,Not Available,Not Available,6,0,0.133,Not Available,32999,45.1,010800,-76.805898393869,41.238915001405
390338,LEHIGH VALLEY HOSPITAL - DICKSON CITY,330 MAIN STREET,DICKSON CITY,PA,18519,LACKAWANNA,(570) 330-5000,01/01/2024,12/31/2024,Not Available,Not Available,557,0,0.397,Not Available,Not Available,Not Available,0,0.188,Not Available,251,1.196,0.304,3,10733,2.508,3.255,Not Available,Not Available,0,10733,0.309,Not Available,Not Available,Not Available,1,0,0.006,Not Available,Not Available,Not Available,28,0,0.683,Not Available,38631,25.8,111600,-75.632646150492,41.453739615318
390338,LEHIGH VALLEY HOSPITAL - DICKSON CITY,330 MAIN STREET,DICKSON CITY,PA,18519,LACKAWANNA,(570) 330-5000,01/01/2024,12/31/2024,Not Available,Not Available,557,0,0.397,Not Available,Not Available,Not Available,0,0.188,Not Available,251,1.196,0.304,3,10733,2.508,3.255,Not Available,Not Available,0,10733,0.309,Not Available,Not Available,Not Available,1,0,0.006,Not Available,Not Available,Not Available,28,0,0.683,Not Available,59703,13.1,111600,-75.632646150492,41.453739615318
390430,LEHIGH VALLEY HOSPITAL - MACUNGIE,3369 STATE ROUTE 100,MACUNGIE,PA,18062,LEHIGH,(835) 215-5500,01/01/2024,12/31/2024,Not Available,Not Available,2,0,0.001,Not Available,Not Available,Not Available,0,0.001,Not Available,1,Not Available,Not Available,0,482,0.129,Not Available,Not Available,Not Available,0,482,0.008,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,88218,3.8,006312,-75.563338180594,40.518725852161
391300,GEISINGER JERSEY SHORE HOSPITAL,1020 THOMPSON STREET,JERSEY SHORE,PA,17740,LYCOMING,(570) 398-3101,01/01/2024,12/31/2024,Not Available,Not Available,156,0,0.101,Not Available,Not Available,Not Available,0,0.003,Not Available,12,0.975,0.163,2,4517,2.051,3.222,Not Available,Not Available,0,4517,0.095,Not Available,Not Available,Not Available,5,0,0.044,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50448,35.8,011900,-77.267990594251,41.201697154068
391300,GEISINGER JERSEY SHORE HOSPITAL,1020 THOMPSON STREET,JERSEY SHORE,PA,17740,LYCOMING,(570) 398-3101,01/01/2024,12/31/2024,Not Available,Not Available,156,0,0.101,Not Available,Not Available,Not Available,0,0.003,Not Available,12,0.975,0.163,2,4517,2.051,3.222,Not Available,Not Available,0,4517,0.095,Not Available,Not Available,Not Available,5,0,0.044,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,45081,29.2,011900,-77.267990594251,41.201697154068
391300,GEISINGER JERSEY SHORE HOSPITAL,1020 THOMPSON STREET,JERSEY SHORE,PA,17740,LYCOMING,(570) 398-3101,01/01/2024,12/31/2024,Not Available,Not Available,156,0,0.101,Not Available,Not Available,Not Available,0,0.003,Not Available,12,0.975,0.163,2,4517,2.051,3.222,Not Available,Not Available,0,4517,0.095,Not Available,Not Available,Not Available,5,0,0.044,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,84270,7.0,011900,-77.267990594251,41.201697154068
391300,GEISINGER JERSEY SHORE HOSPITAL,1020 THOMPSON STREET,JERSEY SHORE,PA,17740,LYCOMING,(570) 398-3101,01/01/2024,12/31/2024,Not Available,Not Available,156,0,0.101,Not Available,Not Available,Not Available,0,0.003,Not Available,12,0.975,0.163,2,4517,2.051,3.222,Not Available,Not Available,0,4517,0.095,Not Available,Not Available,Not Available,5,0,0.044,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70000,6.1,011900,-77.267990594251,41.201697154068
391300,GEISINGER JERSEY SHORE HOSPITAL,1020 THOMPSON STREET,JERSEY SHORE,PA,17740,LYCOMING,(570) 398-3101,01/01/2024,12/31/2024,Not Available,Not Available,156,0,0.101,Not Available,Not Available,Not Available,0,0.003,Not Available,12,0.975,0.163,2,4517,2.051,3.222,Not Available,Not Available,0,4517,0.095,Not Available,Not Available,Not Available,5,0,0.044,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,63628,12.1,011900,-77.267990594251,41.201697154068
391302,CONEMAUGH MEYERSDALE MEDICAL CENTER,200 HOSPITAL DRIVE,MEYERSDALE,PA,15552,SOMERSET,(814) 634-5911,01/01/2024,12/31/2024,Not Available,Not Available,112,0,0.072,Not Available,Not Available,Not Available,0,0.026,Not Available,97,Not Available,Not Available,0,1343,0.296,Not Available,Not Available,Not Available,0,1343,0.027,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,24938,39.3,021600,-79.025064156803,39.809531926649
391302,CONEMAUGH MEYERSDALE MEDICAL CENTER,200 HOSPITAL DRIVE,MEYERSDALE,PA,15552,SOMERSET,(814) 634-5911,01/01/2024,12/31/2024,Not Available,Not Available,112,0,0.072,Not Available,Not Available,Not Available,0,0.026,Not Available,97,Not Available,Not Available,0,1343,0.296,Not Available,Not Available,Not Available,0,1343,0.027,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,101075,6.5,021600,-79.025064156803,39.809531926649
391302,CONEMAUGH MEYERSDALE MEDICAL CENTER,200 HOSPITAL DRIVE,MEYERSDALE,PA,15552,SOMERSET,(814) 634-5911,01/01/2024,12/31/2024,Not Available,Not Available,112,0,0.072,Not Available,Not Available,Not Available,0,0.026,Not Available,97,Not Available,Not Available,0,1343,0.296,Not Available,Not Available,Not Available,0,1343,0.027,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,64545,11.6,021600,-79.025064156803,39.809531926649
391302,CONEMAUGH MEYERSDALE MEDICAL CENTER,200 HOSPITAL DRIVE,MEYERSDALE,PA,15552,SOMERSET,(814) 634-5911,01/01/2024,12/31/2024,Not Available,Not Available,112,0,0.072,Not Available,Not Available,Not Available,0,0.026,Not Available,97,Not Available,Not Available,0,1343,0.296,Not Available,Not Available,Not Available,0,1343,0.027,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,59827,15.4,021600,-79.025064156803,39.809531926649
391303,FULTON COUNTY MEDICAL CENTER,214 PEACH ORCHARD ROAD,MCCONNELLSBURG,PA,17233,FULTON,(717) 485-3155,01/01/2024,12/31/2024,Not Available,Not Available,278,0,0.679,Not Available,Not Available,Not Available,0,0.020,Not Available,76,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,58654,14.8,960100,-78.009132570228,39.938483603924
391303,FULTON COUNTY MEDICAL CENTER,214 PEACH ORCHARD ROAD,MCCONNELLSBURG,PA,17233,FULTON,(717) 485-3155,01/01/2024,12/31/2024,Not Available,Not Available,278,0,0.679,Not Available,Not Available,Not Available,0,0.020,Not Available,76,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36167,18.1,960100,-78.009132570228,39.938483603924
391303,FULTON COUNTY MEDICAL CENTER,214 PEACH ORCHARD ROAD,MCCONNELLSBURG,PA,17233,FULTON,(717) 485-3155,01/01/2024,12/31/2024,Not Available,Not Available,278,0,0.679,Not Available,Not Available,Not Available,0,0.020,Not Available,76,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,63219,13.2,960100,-78.009132570228,39.938483603924
